job_id,voyage,ship_name,T_j
6,15,KM.DOBONSOLO,384.0
6,16,KM.DOBONSOLO,384.0
6,17,KM.DOBONSOLO,384.0
6,18,KM.DOBONSOLO,384.0
6,19,KM.DOBONSOLO,384.0
6,20,KM.DOBONSOLO,384.0
6,21,KM.DOBONSOLO,384.0
6,22,KM.DOBONSOLO,384.0
7,1,KM.DOROLONDA,336.0
7,2,KM.DOROLONDA,336.0
7,3,KM.DOROLONDA,336.0
7,4,KM.DOROLONDA,336.0
7,5,KM.DOROLONDA,336.0
7,6,KM.DOROLONDA,336.0
7,7,KM.DOROLONDA,336.0
7,8,KM.DOROLONDA,336.0
7,9,KM.DOROLONDA,336.0
7,10,KM.DOROLONDA,336.0
7,11,KM.DOROLONDA,336.0
7,12,KM.DOROLONDA,336.0
7,13,KM.DOROLONDA,336.0
7,14,KM.DOROLONDA,336.0
7,15,KM.DOROLONDA,336.0
7,16,KM.DOROLONDA,336.0
7,17,KM.DOROLONDA,336.0
7,18,KM.DOROLONDA,336.0
7,19,KM.DOROLONDA,336.0
7,20,KM.DOROLONDA,336.0
7,21,KM.DOROLONDA,336.0
7,22,KM.DOROLONDA,336.0
8,1,KM.EGON,336.0
8,2,KM.EGON,336.0
8,3,KM.EGON,336.0
8,4,KM.EGON,336.0
8,5,KM.EGON,336.0
8,6,KM.EGON,336.0
8,7,KM.EGON,336.0
8,8,KM.EGON,336.0
8,9,KM.EGON,336.0
8,10,KM.EGON,336.0
8,11,KM.EGON,336.0
8,12,KM.EGON,336.0
8,13,KM.EGON,336.0
8,14,KM.EGON,336.0
8,15,KM.EGON,336.0
8,16,KM.EGON,336.0
8,17,KM.EGON,336.0
8,18,KM.EGON,336.0
8,19,KM.EGON,336.0
8,20,KM.EGON,336.0
8,21,KM.EGON,336.0
9,1,KM.GUNUNGDEMPO,336.0
9,2,KM.GUNUNGDEMPO,336.0
9,3,KM.GUNUNGDEMPO,336.0
9,4,KM.GUNUNGDEMPO,336.0
9,5,KM.GUNUNGDEMPO,336.0
9,6,KM.GUNUNGDEMPO,336.0
9,7,KM.GUNUNGDEMPO,336.0
9,8,KM.GUNUNGDEMPO,336.0
9,9,KM.GUNUNGDEMPO,336.0
9,10,KM.GUNUNGDEMPO,336.0
9,11,KM.GUNUNGDEMPO,336.0
9,12,KM.GUNUNGDEMPO,336.0
9,13,KM.GUNUNGDEMPO,336.0
9,14,KM.GUNUNGDEMPO,336.0
9,15,KM.GUNUNGDEMPO,336.0
9,16,KM.GUNUNGDEMPO,336.0
9,17,KM.GUNUNGDEMPO,336.0
9,18,KM.GUNUNGDEMPO,336.0
9,19,KM.GUNUNGDEMPO,336.0
9,20,KM.GUNUNGDEMPO,336.0
9,21,KM.GUNUNGDEMPO,336.0
9,22,KM.GUNUNGDEMPO,336.0
10,1,KM.KELIMUTU,384.0
10,2,KM.KELIMUTU,384.0
10,3,KM.KELIMUTU,384.0
10,4,KM.KELIMUTU,384.0
10,5,KM.KELIMUTU,384.0
10,6,KM.KELIMUTU,384.0
10,7,KM.KELIMUTU,384.0
10,8,KM.KELIMUTU,384.0
10,9,KM.KELIMUTU,384.0
10,10,KM.KELIMUTU,384.0
10,11,KM.KELIMUTU,384.0
10,12,KM.KELIMUTU,384.0
10,13,KM.KELIMUTU,384.0
10,14,KM.KELIMUTU,384.0
10,15,KM.KELIMUTU,384.0
10,16,KM.KELIMUTU,384.0
10,17,KM.KELIMUTU,384.0
10,18,KM.KELIMUTU,384.0
10,19,KM.KELIMUTU,384.0
10,20,KM.KELIMUTU,384.0
10,21,KM.KELIMUTU,384.0
10,22,KM.KELIMUTU,384.0
10,23,KM.KELIMUTU,384.0
11,2,KM.KELUD,168.0
11,3,KM.KELUD,168.0
11,4,KM.KELUD,168.0
11,5,KM.KELUD,168.0
11,6,KM.KELUD,168.0
11,7,KM.KELUD,168.0
11,8,KM.KELUD,168.0
11,9,KM.KELUD,168.0
11,10,KM.KELUD,168.0
11,11,KM.KELUD,168.0
11,12,KM.KELUD,168.0
11,13,KM.KELUD,168.0
11,14,KM.KELUD,168.0
11,15,KM.KELUD,168.0
11,16,KM.KELUD,168.0
11,17,KM.KELUD,168.0
11,18,KM.KELUD,168.0
11,19,KM.KELUD,168.0
11,20,KM.KELUD,168.0
11,21,KM.KELUD,168.0
11,22,KM.KELUD,168.0
11,23,KM.KELUD,168.0
11,24,KM.KELUD,168.0
11,25,KM.KELUD,168.0
11,26,KM.KELUD,168.0
11,27,KM.KELUD,168.0
11,28,KM.KELUD,168.0
11,29,KM.KELUD,168.0
11,30,KM.KELUD,168.0
11,31,KM.KELUD,168.0
11,32,KM.KELUD,168.0
11,33,KM.KELUD,168.0
11,34,KM.KELUD,168.0
11,35,KM.KELUD,168.0
11,36,KM.KELUD,168.0
11,37,KM.KELUD,168.0
11,38,KM.KELUD,168.0
11,39,KM.KELUD,168.0
11,40,KM.KELUD,168.0
11,41,KM.KELUD,168.0
11,42,KM.KELUD,168.0
11,43,KM.KELUD,168.0
11,44,KM.KELUD,168.0
11,45,KM.KELUD,168.0
11,46,KM.KELUD,168.0
11,47,KM.KELUD,168.0
12,2,KM.LABOBAR,336.0
12,3,KM.LABOBAR,336.0
12,4,KM.LABOBAR,336.0
12,5,KM.LABOBAR,336.0
12,6,KM.LABOBAR,336.0
12,7,KM.LABOBAR,336.0
12,8,KM.LABOBAR,336.0
12,9,KM.LABOBAR,336.0
12,10,KM.LABOBAR,336.0
12,11,KM.LABOBAR,336.0
12,12,KM.LABOBAR,336.0
12,13,KM.LABOBAR,336.0
12,14,KM.LABOBAR,336.0
12,15,KM.LABOBAR,336.0
12,16,KM.LABOBAR,336.0
12,17,KM.LABOBAR,336.0
12,18,KM.LABOBAR,336.0
12,19,KM.LABOBAR,336.0
12,20,KM.LABOBAR,336.0
12,21,KM.LABOBAR,336.0
12,22,KM.LABOBAR,336.0
12,23,KM.LABOBAR,336.0
12,24,KM.LABOBAR,336.0
13,2,KM.LAMBELU,336.0
13,3,KM.LAMBELU,336.0
13,4,KM.LAMBELU,336.0
13,5,KM.LAMBELU,336.0
13,6,KM.LAMBELU,336.0
13,7,KM.LAMBELU,336.0
13,8,KM.LAMBELU,336.0
13,9,KM.LAMBELU,336.0
13,10,KM.LAMBELU,336.0
13,11,KM.LAMBELU,336.0
13,12,KM.LAMBELU,336.0
13,13,KM.LAMBELU,336.0
13,14,KM.LAMBELU,336.0
13,15,KM.LAMBELU,336.0
13,16,KM.LAMBELU,336.0
13,17,KM.LAMBELU,336.0
13,18,KM.LAMBELU,336.0
13,19,KM.LAMBELU,336.0
13,20,KM.LAMBELU,336.0
13,21,KM.LAMBELU,336.0
13,22,KM.LAMBELU,336.0
13,23,KM.LAMBELU,336.0
13,24,KM.LAMBELU,336.0
13,25,KM.LAMBELU,336.0
14,1,KM.LAWIT,336.0
14,2,KM.LAWIT,336.0
14,3,KM.LAWIT,336.0
14,4,KM.LAWIT,336.0
14,5,KM.LAWIT,336.0
14,6,KM.LAWIT,336.0
14,7,KM.LAWIT,336.0
14,8,KM.LAWIT,336.0
14,9,KM.LAWIT,336.0
14,10,KM.LAWIT,336.0
14,11,KM.LAWIT,336.0
14,12,KM.LAWIT,336.0
14,13,KM.LAWIT,336.0
14,14,KM.LAWIT,336.0
14,15,KM.LAWIT,336.0
14,16,KM.LAWIT,336.0
14,17,KM.LAWIT,336.0
14,18,KM.LAWIT,336.0
14,19,KM.LAWIT,336.0
14,20,KM.LAWIT,336.0
14,21,KM.LAWIT,336.0
14,22,KM.LAWIT,336.0
14,23,KM.LAWIT,336.0
15,1,KM.LEUSER,672.0
15,2,KM.LEUSER,672.0
15,3,KM.LEUSER,672.0
15,4,KM.LEUSER,672.0
15,5,KM.LEUSER,672.0
15,6,KM.LEUSER,672.0
15,7,KM.LEUSER,672.0
15,8,KM.LEUSER,672.0
15,9,KM.LEUSER,672.0
15,10,KM.LEUSER,672.0
15,11,KM.LEUSER,672.0
15,12,KM.LEUSER,672.0
16,1,KM.NGGAPULU,336.0
16,2,KM.NGGAPULU,336.0
16,3,KM.NGGAPULU,336.0
16,4,KM.NGGAPULU,336.0
16,5,KM.NGGAPULU,336.0
16,6,KM.NGGAPULU,336.0
16,7,KM.NGGAPULU,336.0
16,8,KM.NGGAPULU,336.0
16,9,KM.NGGAPULU,336.0
16,10,KM.NGGAPULU,336.0
16,11,KM.NGGAPULU,336.0
16,12,KM.NGGAPULU,336.0
16,13,KM.NGGAPULU,336.0
16,14,KM.NGGAPULU,336.0
16,15,KM.NGGAPULU,336.0
16,16,KM.NGGAPULU,336.0
16,17,KM.NGGAPULU,336.0
16,18,KM.NGGAPULU,336.0
16,19,KM.NGGAPULU,336.0
16,20,KM.NGGAPULU,336.0
16,21,KM.NGGAPULU,336.0
16,22,KM.NGGAPULU,336.0
16,23,KM.NGGAPULU,336.0
16,24,KM.NGGAPULU,336.0
17,1,KM.PANGRANGO,336.0
17,2,KM.PANGRANGO,336.0
17,3,KM.PANGRANGO,336.0
17,4,KM.PANGRANGO,336.0
17,5,KM.PANGRANGO,336.0
17,6,KM.PANGRANGO,336.0
17,7,KM.PANGRANGO,336.0
17,8,KM.PANGRANGO,336.0
17,9,KM.PANGRANGO,336.0
17,10,KM.PANGRANGO,336.0
17,11,KM.PANGRANGO,336.0
17,12,KM.PANGRANGO,336.0
17,13,KM.PANGRANGO,336.0
17,14,KM.PANGRANGO,336.0
17,15,KM.PANGRANGO,336.0
17,16,KM.PANGRANGO,336.0
17,17,KM.PANGRANGO,336.0
17,18,KM.PANGRANGO,336.0
17,19,KM.PANGRANGO,336.0
17,20,KM.PANGRANGO,336.0
17,21,KM.PANGRANGO,336.0
17,22,KM.PANGRANGO,336.0
18,1,KM.SANGIANG,336.0
18,2,KM.SANGIANG,336.0
18,3,KM.SANGIANG,336.0
18,4,KM.SANGIANG,336.0
18,5,KM.SANGIANG,336.0
18,6,KM.SANGIANG,336.0
18,7,KM.SANGIANG,336.0
18,8,KM.SANGIANG,336.0
18,9,KM.SANGIANG,336.0
18,10,KM.SANGIANG,336.0
18,11,KM.SANGIANG,336.0
18,12,KM.SANGIANG,336.0
18,13,KM.SANGIANG,336.0
18,14,KM.SANGIANG,336.0
18,15,KM.SANGIANG,336.0
18,16,KM.SANGIANG,336.0
18,17,KM.SANGIANG,336.0
18,18,KM.SANGIANG,336.0
18,19,KM.SANGIANG,336.0
18,20,KM.SANGIANG,336.0
18,21,KM.SANGIANG,336.0
18,22,KM.SANGIANG,336.0
18,23,KM.SANGIANG,336.0
18,24,KM.SANGIANG,336.0
18,25,KM.SANGIANG,336.0
19,1,KM.SINABUNG,336.0
19,2,KM.SINABUNG,336.0
