job_id,machine_id,op_seq,A_lj,S_lj,C_lj,planned_C_lj,tidal_wait,PELABUHAN_LOGIS,congestion_wait,total_wait
6,38,6,338.0,338.0,341.0,341.0,0.0,SORONG,0.0,0.0
6,36,7,382.0,382.0,384.0,384.0,0.0,BAUBAU,0.0,0.0
6,15,8,400.0,400.0,403.0,403.0,0.0,MAKASSAR,0.0,0.0
6,4,9,434.0,434.0,436.0,436.0,0.0,SURABAYA,0.0,0.0
7,4,0,172.0,172.0,181.0,181.0,0.0,SURABAYA,0.0,0.0
7,31,1,209.0,209.0,211.0,211.0,0.0,BALIKPAPAN,0.0,0.0
7,50,2,223.0,223.0,225.0,225.0,0.0,PANTOLOAN,0.0,0.0
7,51,3,254.0,254.0,257.0,257.0,0.0,BITUNG,0.0,0.0
7,52,4,266.0,266.0,268.0,268.0,0.0,TERNATE,0.0,0.0
7,38,5,287.0,287.0,290.0,290.0,0.0,SORONG,0.0,0.0
7,41,6,302.0,302.0,304.0,304.0,0.0,MANOKWARI,0.0,0.0
7,44,7,314.0,314.0,316.0,316.0,0.0,NABIRE,0.0,0.0
7,39,8,322.0,322.0,324.0,324.0,0.0,SERUI,0.0,0.0
7,40,9,344.0,344.0,349.0,349.0,0.0,JAYAPURA,0.0,0.0
8,9,0,165.0,165.0,171.0,171.0,0.0,WAINGAPU,0.0,0.0
8,55,1,198.0,198.0,201.0,201.0,0.0,LEMBAR,0.0,0.0
8,4,2,222.0,222.0,226.0,226.0,0.0,SURABAYA,0.0,0.0
8,19,3,254.0,254.0,257.0,257.0,0.0,BATULICIN,0.0,0.0
8,16,4,279.0,279.0,281.0,281.0,0.0,PAREPARE,0.0,0.0
8,17,5,306.0,306.0,309.0,309.0,0.0,BONTANG,0.0,0.0
8,16,6,335.0,335.0,338.0,338.0,0.0,PAREPARE,0.0,0.0
8,17,7,364.0,364.0,367.0,367.0,0.0,BONTANG,0.0,0.0
8,16,8,392.0,392.0,394.0,394.0,0.0,PAREPARE,0.0,0.0
