seed,caoa_total_tardiness,caoassr_total_tardiness,gwo_total_tardiness
1,5759.0,5756.0,5781.0
2,5766.0,5758.0,5756.0
3,5764.0,5756.0,5781.0
4,5759.0,5756.0,5777.0
5,5758.0,5756.0,5781.0
6,5778.0,5756.0,5787.0
7,5766.0,5756.0,5760.0
8,5767.0,5758.0,5758.0
9,5758.0,5758.0,5763.0
10,5762.0,5760.0,5783.0
11,5771.0,5758.0,5801.0
12,5773.0,5756.0,5785.0
13,5765.0,5756.0,5789.0
14,5756.0,5757.0,5765.0
15,5758.0,5758.0,5774.0
16,5762.0,5756.0,5781.0
17,5765.0,5756.0,5798.0
18,5781.0,5758.0,5756.0
19,5760.0,5756.0,5768.0
20,5758.0,5756.0,5756.0
21,5758.0,5758.0,5757.0
22,5770.0,5758.0,5785.0
23,5758.0,5756.0,5768.0
24,5758.0,5758.0,5758.0
25,5760.0,5756.0,5798.0
26,5783.0,5772.0,5766.0
27,5758.0,5758.0,5792.0
28,5760.0,5756.0,5756.0
29,5758.0,5757.0,5763.0
30,5756.0,5758.0,5772.0
