job_id,voyage,first_arrival_hour,baseline_last_completion_hour,due_window_hours,due_hour_absolute,baseline_tardiness_hours,baseline_lateness_hours,baseline_earliness_hours,baseline_status,optimized_last_completion_hour,optimized_tardiness_hours,optimized_lateness_hours,optimized_earliness_hours,optimized_status,delta_completion_hours,delta_tardiness_hours,delta_lateness_hours,status_transition
10,4,817.0,2933.0,384.0,1201.0,1732.0,1732.0,0.0,LATE,2933.0,1732.0,1732.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
21,2,595.0,2185.0,336.0,931.0,1254.0,1254.0,0.0,LATE,2160.0,1229.0,1229.0,0.0,LATE,-25.0,-25.0,-25.0,LATE -> LATE
16,4,917.0,2251.0,336.0,1253.0,998.0,998.0,0.0,LATE,2251.0,998.0,998.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
23,3,575.0,1642.0,336.0,911.0,731.0,731.0,0.0,LATE,1636.0,725.0,725.0,0.0,LATE,-6.0,-6.0,-6.0,LATE -> LATE
6,2,468.0,1578.0,384.0,852.0,726.0,726.0,0.0,LATE,1578.0,726.0,726.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
1,3,898.0,1885.0,336.0,1234.0,651.0,651.0,0.0,LATE,1885.0,651.0,651.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
14,3,727.0,1341.0,336.0,1063.0,278.0,278.0,0.0,LATE,1341.0,278.0,278.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
8,4,1255.0,1773.0,336.0,1591.0,182.0,182.0,0.0,LATE,1773.0,182.0,182.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
12,6,1654.0,2086.0,336.0,1990.0,96.0,96.0,0.0,LATE,2067.0,77.0,77.0,0.0,LATE,-19.0,-19.0,-19.0,LATE -> LATE
5,6,1887.0,2299.0,336.0,2223.0,76.0,76.0,0.0,LATE,2299.0,76.0,76.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
23,4,1641.0,2052.0,336.0,1977.0,75.0,75.0,0.0,LATE,2053.0,76.0,76.0,0.0,LATE,1.0,1.0,1.0,LATE -> LATE
9,5,1467.0,1876.0,336.0,1803.0,73.0,73.0,0.0,LATE,1876.0,73.0,73.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
23,5,2058.0,2460.0,336.0,2394.0,66.0,66.0,0.0,LATE,2460.0,66.0,66.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
21,1,101.0,502.0,336.0,437.0,65.0,65.0,0.0,LATE,474.0,37.0,37.0,0.0,LATE,-28.0,-28.0,-28.0,LATE -> LATE
6,5,2305.0,2753.0,384.0,2689.0,64.0,64.0,0.0,LATE,2753.0,64.0,64.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
19,5,1677.0,2075.0,336.0,2013.0,62.0,62.0,0.0,LATE,2056.0,43.0,43.0,0.0,LATE,-19.0,-19.0,-19.0,LATE -> LATE
23,2,176.0,573.0,336.0,512.0,61.0,61.0,0.0,LATE,553.0,41.0,41.0,0.0,LATE,-20.0,-20.0,-20.0,LATE -> LATE
19,2,554.0,942.0,336.0,890.0,52.0,52.0,0.0,LATE,945.0,55.0,55.0,0.0,LATE,3.0,3.0,3.0,LATE -> LATE
5,3,828.0,1215.0,336.0,1164.0,51.0,51.0,0.0,LATE,1201.0,37.0,37.0,0.0,LATE,-14.0,-14.0,-14.0,LATE -> LATE
14,2,388.0,774.0,336.0,724.0,50.0,50.0,0.0,LATE,771.0,47.0,47.0,0.0,LATE,-3.0,-3.0,-3.0,LATE -> LATE
21,4,2532.0,2915.0,336.0,2868.0,47.0,47.0,0.0,LATE,2915.0,47.0,47.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
3,2,210.0,592.0,336.0,546.0,46.0,46.0,0.0,LATE,567.0,21.0,21.0,0.0,LATE,-25.0,-25.0,-25.0,LATE -> LATE
5,2,435.0,816.0,336.0,771.0,45.0,45.0,0.0,LATE,816.0,45.0,45.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
8,3,846.0,1226.0,336.0,1182.0,44.0,44.0,0.0,LATE,1226.0,44.0,44.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
3,3,594.0,970.0,336.0,930.0,40.0,40.0,0.0,LATE,969.0,39.0,39.0,0.0,LATE,-1.0,-1.0,-1.0,LATE -> LATE
15,2,966.0,1676.0,672.0,1638.0,38.0,38.0,0.0,LATE,1676.0,38.0,38.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
19,1,153.0,521.0,336.0,489.0,32.0,32.0,0.0,LATE,533.0,44.0,44.0,0.0,LATE,12.0,12.0,12.0,LATE -> LATE
3,4,996.0,1360.0,336.0,1332.0,28.0,28.0,0.0,LATE,1334.0,2.0,2.0,0.0,LATE,-26.0,-26.0,-26.0,LATE -> LATE
1,2,502.0,855.0,336.0,838.0,17.0,17.0,0.0,LATE,837.0,0.0,-1.0,1.0,ON_TIME,-18.0,-17.0,-18.0,LATE -> ON_TIME
19,3,934.0,1286.0,336.0,1270.0,16.0,16.0,0.0,LATE,1291.0,21.0,21.0,0.0,LATE,5.0,5.0,5.0,LATE -> LATE
21,3,2171.0,2520.0,336.0,2507.0,13.0,13.0,0.0,LATE,2520.0,13.0,13.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
14,1,13.0,361.0,336.0,349.0,12.0,12.0,0.0,LATE,361.0,12.0,12.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
5,5,1515.0,1862.0,336.0,1851.0,11.0,11.0,0.0,LATE,1863.0,12.0,12.0,0.0,LATE,1.0,1.0,1.0,LATE -> LATE
4,2,247.0,593.0,336.0,583.0,10.0,10.0,0.0,LATE,584.0,1.0,1.0,0.0,LATE,-9.0,-9.0,-9.0,LATE -> LATE
15,1,281.0,961.0,672.0,953.0,8.0,8.0,0.0,LATE,942.0,0.0,-11.0,11.0,ON_TIME,-19.0,-8.0,-19.0,LATE -> ON_TIME
12,3,653.0,993.0,336.0,989.0,4.0,4.0,0.0,LATE,981.0,0.0,-8.0,8.0,ON_TIME,-12.0,-4.0,-12.0,LATE -> ON_TIME
9,3,760.0,1099.0,336.0,1096.0,3.0,3.0,0.0,LATE,1103.0,7.0,7.0,0.0,LATE,4.0,4.0,4.0,LATE -> LATE
7,5,1511.0,1849.0,336.0,1847.0,2.0,2.0,0.0,LATE,1854.0,7.0,7.0,0.0,LATE,5.0,5.0,5.0,LATE -> LATE
8,2,498.0,835.0,336.0,834.0,1.0,1.0,0.0,LATE,836.0,2.0,2.0,0.0,LATE,1.0,1.0,1.0,LATE -> LATE
20,6,3252.0,3925.0,672.0,3924.0,1.0,1.0,0.0,LATE,3925.0,1.0,1.0,0.0,LATE,0.0,0.0,0.0,LATE -> LATE
0,2,93.0,248.0,168.0,261.0,0.0,-13.0,13.0,ON_TIME,248.0,0.0,-13.0,13.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
0,3,261.0,416.0,168.0,429.0,0.0,-13.0,13.0,ON_TIME,416.0,0.0,-13.0,13.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
1,1,172.0,475.0,336.0,508.0,0.0,-33.0,33.0,ON_TIME,479.0,0.0,-29.0,29.0,ON_TIME,4.0,0.0,4.0,ON_TIME -> ON_TIME
1,4,1908.0,2233.0,336.0,2244.0,0.0,-11.0,11.0,ON_TIME,2233.0,0.0,-11.0,11.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
1,5,2259.0,2491.0,336.0,2595.0,0.0,-104.0,104.0,ON_TIME,2491.0,0.0,-104.0,104.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
2,1,66.0,393.0,336.0,402.0,0.0,-9.0,9.0,ON_TIME,393.0,0.0,-9.0,9.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
2,2,416.0,659.0,336.0,752.0,0.0,-93.0,93.0,ON_TIME,665.0,0.0,-87.0,87.0,ON_TIME,6.0,0.0,6.0,ON_TIME -> ON_TIME
2,3,682.0,999.0,336.0,1018.0,0.0,-19.0,19.0,ON_TIME,999.0,0.0,-19.0,19.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
2,4,1022.0,1040.0,336.0,1358.0,0.0,-318.0,318.0,ON_TIME,1040.0,0.0,-318.0,318.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
3,5,1362.0,1696.0,336.0,1698.0,0.0,-2.0,2.0,ON_TIME,1696.0,0.0,-2.0,2.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
3,6,1723.0,1870.0,336.0,2059.0,0.0,-189.0,189.0,ON_TIME,1870.0,0.0,-189.0,189.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
3,7,1916.0,2068.0,336.0,2252.0,0.0,-184.0,184.0,ON_TIME,2068.0,0.0,-184.0,184.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
4,3,583.0,916.0,336.0,919.0,0.0,-3.0,3.0,ON_TIME,914.0,0.0,-5.0,5.0,ON_TIME,-2.0,0.0,-2.0,ON_TIME -> ON_TIME
4,4,919.0,1097.0,336.0,1255.0,0.0,-158.0,158.0,ON_TIME,1104.0,0.0,-151.0,151.0,ON_TIME,7.0,0.0,7.0,ON_TIME -> ON_TIME
5,4,1228.0,1489.0,336.0,1564.0,0.0,-75.0,75.0,ON_TIME,1501.0,0.0,-63.0,63.0,ON_TIME,12.0,0.0,12.0,ON_TIME -> ON_TIME
5,7,2327.0,2342.0,336.0,2663.0,0.0,-321.0,321.0,ON_TIME,2342.0,0.0,-321.0,321.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
6,1,158.0,440.0,384.0,542.0,0.0,-102.0,102.0,ON_TIME,482.0,0.0,-60.0,60.0,ON_TIME,42.0,0.0,42.0,ON_TIME -> ON_TIME
6,3,1602.0,1967.0,384.0,1986.0,0.0,-19.0,19.0,ON_TIME,1967.0,0.0,-19.0,19.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
6,4,1994.0,2278.0,384.0,2378.0,0.0,-100.0,100.0,ON_TIME,2278.0,0.0,-100.0,100.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
6,6,2779.0,2804.0,384.0,3163.0,0.0,-359.0,359.0,ON_TIME,2804.0,0.0,-359.0,359.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
7,1,172.0,479.0,336.0,508.0,0.0,-29.0,29.0,ON_TIME,479.0,0.0,-29.0,29.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
7,2,508.0,834.0,336.0,844.0,0.0,-10.0,10.0,ON_TIME,811.0,0.0,-33.0,33.0,ON_TIME,-23.0,0.0,-23.0,ON_TIME -> ON_TIME
7,3,838.0,1150.0,336.0,1174.0,0.0,-24.0,24.0,ON_TIME,1149.0,0.0,-25.0,25.0,ON_TIME,-1.0,0.0,-1.0,ON_TIME -> ON_TIME
7,4,1178.0,1484.0,336.0,1514.0,0.0,-30.0,30.0,ON_TIME,1484.0,0.0,-30.0,30.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
7,6,1878.0,1887.0,336.0,2214.0,0.0,-327.0,327.0,ON_TIME,1887.0,0.0,-327.0,327.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
8,1,165.0,475.0,336.0,501.0,0.0,-26.0,26.0,ON_TIME,472.0,0.0,-29.0,29.0,ON_TIME,-3.0,0.0,-3.0,ON_TIME -> ON_TIME
9,1,76.0,400.0,336.0,412.0,0.0,-12.0,12.0,ON_TIME,405.0,0.0,-7.0,7.0,ON_TIME,5.0,0.0,5.0,ON_TIME -> ON_TIME
9,2,422.0,741.0,336.0,758.0,0.0,-17.0,17.0,ON_TIME,742.0,0.0,-16.0,16.0,ON_TIME,1.0,0.0,1.0,ON_TIME -> ON_TIME
9,4,1118.0,1443.0,336.0,1454.0,0.0,-11.0,11.0,ON_TIME,1451.0,0.0,-3.0,3.0,ON_TIME,8.0,0.0,8.0,ON_TIME -> ON_TIME
9,6,1902.0,1933.0,336.0,2238.0,0.0,-305.0,305.0,ON_TIME,1933.0,0.0,-305.0,305.0,ON_TIME,0.0,0.0,0.0,ON_TIME -> ON_TIME
