seed,caoa_total_tardiness,caoassr_total_tardiness,gwo_total_tardiness
1,5771.0,5763.0,5801.0
2,5793.0,5764.0,5781.0
3,5784.0,5759.0,5783.0
4,5790.0,5760.0,5784.0
5,5773.0,5764.0,5781.0
6,5801.0,5762.0,5799.0
7,5765.0,5760.0,5781.0
8,5781.0,5763.0,5782.0
9,5782.0,5764.0,5784.0
10,5784.0,5760.0,5817.0
11,5779.0,5759.0,5776.0
12,5765.0,5758.0,5802.0
13,5793.0,5761.0,5784.0
14,5756.0,5762.0,5764.0
15,5771.0,5758.0,5758.0
16,5787.0,5762.0,5786.0
17,5764.0,5764.0,5763.0
18,5779.0,5758.0,5768.0
19,5786.0,5764.0,5791.0
20,5784.0,5768.0,5784.0
21,5783.0,5760.0,5756.0
22,5772.0,5758.0,5790.0
23,5782.0,5764.0,5769.0
24,5800.0,5767.0,5756.0
25,5760.0,5758.0,5781.0
26,5782.0,5758.0,5780.0
27,5772.0,5760.0,5768.0
28,5795.0,5760.0,5775.0
29,5784.0,5756.0,5760.0
30,5762.0,5767.0,5761.0
