seed,algorithm_seed,algorithm,total_tardiness,max_tardiness,runtime_seconds,feasible,convergence_path,error
1,100001,CAOA,5771.0,1502.0,29.84669125599612,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_1.npy,
1,200001,CAOASSR,5763.0,1502.0,36.07971474300575,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_1.npy,
1,300001,GWO,5801.0,1502.0,28.077771488999133,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_1.npy,
2,100002,CAOA,5793.0,1502.0,29.609739508996427,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_2.npy,
2,200002,CAOASSR,5764.0,1502.0,34.81567970300239,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_2.npy,
2,300002,GWO,5781.0,1502.0,27.96240519300045,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_2.npy,
3,100003,CAOA,5784.0,1502.0,30.383406892004132,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_3.npy,
3,200003,CAOASSR,5759.0,1502.0,36.38149005200103,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_3.npy,
3,300003,GWO,5783.0,1502.0,29.10678710499633,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_3.npy,
4,100004,CAOA,5790.0,1502.0,33.19354520600609,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_4.npy,
4,200004,CAOASSR,5760.0,1502.0,36.94856840099965,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_4.npy,
4,300004,GWO,5784.0,1502.0,29.09660970499681,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_4.npy,
5,100005,CAOA,5773.0,1502.0,29.31892612500087,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_5.npy,
5,200005,CAOASSR,5764.0,1502.0,35.75867027899949,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_5.npy,
5,300005,GWO,5781.0,1502.0,27.938581393995264,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_5.npy,
6,100006,CAOA,5801.0,1502.0,29.47429024399753,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_6.npy,
6,200006,CAOASSR,5762.0,1502.0,35.963423100998625,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_6.npy,
6,300006,GWO,5799.0,1502.0,27.936214776003908,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_6.npy,
7,100007,CAOA,5765.0,1502.0,28.720484372999636,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_7.npy,
7,200007,CAOASSR,5760.0,1502.0,35.14039648700418,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_7.npy,
7,300007,GWO,5781.0,1502.0,28.41148872100166,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_7.npy,
8,100008,CAOA,5781.0,1502.0,28.883290355995996,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_8.npy,
8,200008,CAOASSR,5763.0,1502.0,35.38589841299108,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_8.npy,
8,300008,GWO,5782.0,1502.0,28.40143035299843,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_8.npy,
9,100009,CAOA,5782.0,1502.0,29.62611501599895,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_9.npy,
9,200009,CAOASSR,5764.0,1502.0,35.12303616000281,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_9.npy,
9,300009,GWO,5784.0,1502.0,28.224408588008373,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_9.npy,
10,100010,CAOA,5784.0,1502.0,29.79800323100062,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_10.npy,
10,200010,CAOASSR,5760.0,1502.0,35.54818977099785,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_10.npy,
10,300010,GWO,5817.0,1502.0,27.923195290990407,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_10.npy,
11,100011,CAOA,5779.0,1502.0,30.179429255993455,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_11.npy,
11,200011,CAOASSR,5759.0,1502.0,36.24380507100432,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_11.npy,
11,300011,GWO,5776.0,1502.0,28.507798606005963,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_11.npy,
12,100012,CAOA,5765.0,1502.0,29.147532781003974,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_12.npy,
12,200012,CAOASSR,5758.0,1502.0,35.444760619007866,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_12.npy,
12,300012,GWO,5802.0,1502.0,28.063279116002377,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_12.npy,
13,100013,CAOA,5793.0,1502.0,29.92880507800146,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_13.npy,
13,200013,CAOASSR,5761.0,1502.0,35.698689992001164,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_13.npy,
13,300013,GWO,5784.0,1502.0,28.36972748900007,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_13.npy,
14,100014,CAOA,5756.0,1502.0,28.984164658992086,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_14.npy,
14,200014,CAOASSR,5762.0,1502.0,35.28231659300218,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_14.npy,
14,300014,GWO,5764.0,1502.0,28.115774250996765,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_14.npy,
15,100015,CAOA,5771.0,1502.0,30.261077082992415,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_15.npy,
15,200015,CAOASSR,5758.0,1502.0,35.914376622997224,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_15.npy,
15,300015,GWO,5758.0,1502.0,28.643312875996344,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_15.npy,
16,100016,CAOA,5787.0,1502.0,29.78676574099518,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_16.npy,
16,200016,CAOASSR,5762.0,1502.0,37.736170371994376,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_16.npy,
16,300016,GWO,5786.0,1502.0,28.266664512004354,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_16.npy,
17,100017,CAOA,5764.0,1502.0,29.569292696993216,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoa/seed_17.npy,
17,200017,CAOASSR,5764.0,1502.0,36.23212965599669,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/caoassr/seed_17.npy,
17,300017,GWO,5763.0,1502.0,28.925080671993783,True,data/results/nonparametric/nonparametric_20260503_035430/convergence_runs/gwo/seed_17.npy,
