seed,algorithm_seed,algorithm,total_tardiness,max_tardiness,runtime_seconds,feasible,convergence_path,error
1,100001,CAOA,5758.0,1502.0,106.5687339129945,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_1.npy,
1,200001,CAOASSR,5756.0,1502.0,120.71792729400477,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_1.npy,
1,300001,GWO,5787.0,1502.0,86.18387900599919,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_1.npy,
2,100002,CAOA,5771.0,1502.0,104.43297405300109,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_2.npy,
2,200002,CAOASSR,5756.0,1502.0,122.34878133799793,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_2.npy,
2,300002,GWO,5773.0,1502.0,84.86721936899994,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_2.npy,
3,100003,CAOA,5756.0,1502.0,106.48207831299806,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_3.npy,
3,200003,CAOASSR,5756.0,1502.0,122.87030002599931,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_3.npy,
3,300003,GWO,5784.0,1502.0,82.1329011600028,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_3.npy,
4,100004,CAOA,5760.0,1502.0,103.66158264700061,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_4.npy,
4,200004,CAOASSR,5756.0,1502.0,120.12531084199873,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_4.npy,
4,300004,GWO,5758.0,1502.0,84.22532098800002,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_4.npy,
5,100005,CAOA,5760.0,1502.0,104.52726794499904,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_5.npy,
5,200005,CAOASSR,5756.0,1502.0,120.81408963800641,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_5.npy,
5,300005,GWO,5783.0,1502.0,85.38135705600143,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_5.npy,
6,100006,CAOA,5766.0,1502.0,104.26089847500407,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_6.npy,
6,200006,CAOASSR,5756.0,1502.0,120.51296599900525,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_6.npy,
6,300006,GWO,5773.0,1502.0,84.10566636500153,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_6.npy,
7,100007,CAOA,5758.0,1502.0,104.41845358900173,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_7.npy,
7,200007,CAOASSR,5756.0,1502.0,122.77591947100154,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_7.npy,
7,300007,GWO,5760.0,1502.0,84.44015681200108,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_7.npy,
8,100008,CAOA,5769.0,1502.0,104.75891118000436,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_8.npy,
8,200008,CAOASSR,5756.0,1502.0,121.70744516699779,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_8.npy,
8,300008,GWO,5774.0,1502.0,84.32002827699762,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_8.npy,
9,100009,CAOA,5760.0,1502.0,105.06961171500006,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_9.npy,
9,200009,CAOASSR,5758.0,1502.0,122.44473713500338,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_9.npy,
9,300009,GWO,5756.0,1502.0,83.79281799800083,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_9.npy,
10,100010,CAOA,5758.0,1502.0,104.93841240500478,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_10.npy,
10,200010,CAOASSR,5758.0,1502.0,121.64153881999664,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_10.npy,
10,300010,GWO,5781.0,1502.0,84.52817171400238,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_10.npy,
11,100011,CAOA,5756.0,1502.0,104.445283422996,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_11.npy,
11,200011,CAOASSR,5756.0,1502.0,120.49028664499929,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_11.npy,
11,300011,GWO,5756.0,1502.0,82.55317643700255,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_11.npy,
12,100012,CAOA,5756.0,1502.0,105.01773706400127,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_12.npy,
12,200012,CAOASSR,5756.0,1502.0,122.87640628100053,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_12.npy,
12,300012,GWO,5783.0,1502.0,83.97799496600055,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_12.npy,
13,100013,CAOA,5756.0,1502.0,104.9480641150003,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_13.npy,
13,200013,CAOASSR,5756.0,1502.0,122.12062483899354,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_13.npy,
13,300013,GWO,5775.0,1502.0,83.93657373399765,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_13.npy,
14,100014,CAOA,5781.0,1502.0,106.33992821499851,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_14.npy,
14,200014,CAOASSR,5756.0,1502.0,122.59991392899974,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_14.npy,
14,300014,GWO,5773.0,1502.0,84.43821685399598,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_14.npy,
15,100015,CAOA,5759.0,1502.0,106.90707579300215,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_15.npy,
15,200015,CAOASSR,5756.0,1502.0,123.50800474399875,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_15.npy,
15,300015,GWO,5756.0,1502.0,84.60230072999548,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_15.npy,
16,100016,CAOA,5758.0,1502.0,101.49826480200136,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_16.npy,
16,200016,CAOASSR,5758.0,1502.0,122.58839880100277,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_16.npy,
16,300016,GWO,5756.0,1502.0,84.5900012810016,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_16.npy,
17,100017,CAOA,5759.0,1502.0,106.35847557899979,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_17.npy,
17,200017,CAOASSR,5756.0,1502.0,119.88171622499794,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_17.npy,
17,300017,GWO,5790.0,1502.0,83.88805769699684,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_17.npy,
18,100018,CAOA,5758.0,1502.0,105.26556678699853,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_18.npy,
18,200018,CAOASSR,5756.0,1502.0,122.73349093100114,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_18.npy,
18,300018,GWO,5763.0,1502.0,85.38662025400117,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_18.npy,
19,100019,CAOA,5767.0,1502.0,108.42819651599712,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoa/seed_19.npy,
19,200019,CAOASSR,5756.0,1502.0,121.27999577100127,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/caoassr/seed_19.npy,
19,300019,GWO,5764.0,1502.0,83.61633920500026,True,data/results/nonparametric/nonparametric_20260502_233403/convergence_runs/gwo/seed_19.npy,
