seed,algorithm_seed,algorithm,total_tardiness,max_tardiness,runtime_seconds,feasible,convergence_path,error
15,100015,CAOA,5756.0,1502.0,141.52706936699542,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_15.npy,
15,200015,CAOASSR,5756.0,1502.0,161.17716110699985,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_15.npy,
15,300015,GWO,5765.0,1502.0,109.69301760599774,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_15.npy,
16,100016,CAOA,5758.0,1502.0,140.70551751000312,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_16.npy,
16,200016,CAOASSR,5758.0,1502.0,162.4650025860028,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_16.npy,
16,300016,GWO,5765.0,1502.0,110.66892405999533,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_16.npy,
17,100017,CAOA,5756.0,1502.0,142.0544916630024,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_17.npy,
17,200017,CAOASSR,5756.0,1502.0,161.22105152800214,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_17.npy,
17,300017,GWO,5756.0,1502.0,108.39739415000076,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_17.npy,
18,100018,CAOA,5756.0,1502.0,140.0217630210027,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_18.npy,
18,200018,CAOASSR,5756.0,1502.0,161.6810793009936,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_18.npy,
18,300018,GWO,5763.0,1502.0,111.2823530490059,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_18.npy,
19,100019,CAOA,5758.0,1502.0,140.8405273899989,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_19.npy,
19,200019,CAOASSR,5756.0,1502.0,164.24695567800518,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_19.npy,
19,300019,GWO,5758.0,1502.0,111.26342312400084,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_19.npy,
20,100020,CAOA,5764.0,1502.0,142.09865742200054,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_20.npy,
20,200020,CAOASSR,5756.0,1502.0,164.9484202349995,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_20.npy,
20,300020,GWO,5756.0,1502.0,112.16167472099914,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_20.npy,
21,100021,CAOA,5764.0,1502.0,141.9693677260002,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_21.npy,
21,200021,CAOASSR,5756.0,1502.0,163.76802500800113,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_21.npy,
21,300021,GWO,5756.0,1502.0,109.2236170630058,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_21.npy,
22,100022,CAOA,5760.0,1502.0,143.17816414700064,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_22.npy,
22,200022,CAOASSR,5758.0,1502.0,168.7429408139942,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_22.npy,
22,300022,GWO,5756.0,1502.0,111.28451921299711,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_22.npy,
23,100023,CAOA,5756.0,1502.0,143.08847068300383,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_23.npy,
23,200023,CAOASSR,5756.0,1502.0,165.91963110199868,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_23.npy,
23,300023,GWO,5756.0,1502.0,110.69800029999897,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_23.npy,
24,100024,CAOA,5756.0,1502.0,145.20822809600213,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_24.npy,
24,200024,CAOASSR,5756.0,1502.0,167.46735837899905,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_24.npy,
24,300024,GWO,5758.0,1502.0,111.25500512199505,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_24.npy,
25,100025,CAOA,5758.0,1502.0,142.65873711199674,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_25.npy,
25,200025,CAOASSR,5756.0,1502.0,167.62911624199478,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_25.npy,
25,300025,GWO,5756.0,1502.0,113.32594004699786,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_25.npy,
26,100026,CAOA,5756.0,1502.0,141.74797134400433,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_26.npy,
26,200026,CAOASSR,5756.0,1502.0,167.21465200300008,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_26.npy,
26,300026,GWO,5756.0,1502.0,111.47295119900082,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_26.npy,
27,100027,CAOA,5756.0,1502.0,145.3163617409955,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_27.npy,
27,200027,CAOASSR,5757.0,1502.0,166.23577277400182,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_27.npy,
27,300027,GWO,5792.0,1502.0,114.4608342720021,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_27.npy,
28,100028,CAOA,5756.0,1502.0,145.37565900499612,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_28.npy,
28,200028,CAOASSR,5756.0,1502.0,168.98267516800115,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_28.npy,
28,300028,GWO,5758.0,1502.0,113.50603921699803,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_28.npy,
29,100029,CAOA,5756.0,1502.0,146.84329621100187,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_29.npy,
29,200029,CAOASSR,5756.0,1502.0,165.79068809400633,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_29.npy,
29,300029,GWO,5756.0,1502.0,112.26018194299832,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_29.npy,
30,100030,CAOA,5759.0,1502.0,140.09348902099737,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoa/seed_30.npy,
30,200030,CAOASSR,5756.0,1502.0,165.28509381299955,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/caoassr/seed_30.npy,
30,300030,GWO,5763.0,1502.0,111.064985539997,True,data/results/nonparametric/nonparametric_20260502_193737/convergence_runs/gwo/seed_30.npy,
