seed,caoa_total_tardiness,caoassr_total_tardiness,gwo_total_tardiness
1,5758.0,5756.0,5781.0
2,5758.0,5756.0,5756.0
3,5756.0,5756.0,5789.0
4,5758.0,5756.0,5756.0
5,5756.0,5756.0,5781.0
6,5756.0,5756.0,5776.0
7,5756.0,5756.0,5788.0
8,5756.0,5756.0,5765.0
9,5756.0,5756.0,5775.0
10,5756.0,5756.0,5756.0
11,5756.0,5756.0,5756.0
12,5758.0,5758.0,5756.0
13,5756.0,5758.0,5767.0
14,5756.0,5756.0,5780.0
15,5756.0,5756.0,5765.0
16,5758.0,5758.0,5765.0
17,5756.0,5756.0,5756.0
18,5756.0,5756.0,5763.0
19,5758.0,5756.0,5758.0
20,5764.0,5756.0,5756.0
21,5764.0,5756.0,5756.0
22,5760.0,5758.0,5756.0
23,5756.0,5756.0,5756.0
24,5756.0,5756.0,5758.0
25,5758.0,5756.0,5756.0
26,5756.0,5756.0,5756.0
27,5756.0,5757.0,5792.0
28,5756.0,5756.0,5758.0
29,5756.0,5756.0,5756.0
30,5759.0,5756.0,5763.0
